# Bin_Start Bin_End Count
0.853581 0.859475 3.000000
0.859475 0.865369 14.000000
0.865369 0.871264 61.000000
0.871264 0.877158 198.000000
0.877158 0.883053 492.000000
0.883053 0.888947 1124.000000
0.888947 0.894842 2602.000000
0.894842 0.900736 5518.000000
0.900736 0.906631 10451.000000
0.906631 0.912525 18381.000000
0.912525 0.918420 30142.000000
0.918420 0.924314 46363.000000
0.924314 0.930208 68346.000000
0.930208 0.936103 93307.000000
0.936103 0.941997 118174.000000
0.941997 0.947892 143149.000000
0.947892 0.953786 164884.000000
0.953786 0.959681 179975.000000
0.959681 0.965575 185714.000000
0.965575 0.971470 181700.000000
0.971470 0.977364 169360.000000
0.977364 0.983259 155707.000000
0.983259 0.989153 132163.000000
0.989153 0.995047 113009.000000
0.995047 1.000942 86553.000000
1.000942 1.006836 68544.000000
1.006836 1.012731 50688.000000
1.012731 1.018625 36074.000000
1.018625 1.024520 25533.000000
1.024520 1.030414 17532.000000
1.030414 1.036309 11557.000000
1.036309 1.042203 7349.000000
1.042203 1.048098 4465.000000
1.048098 1.053992 2901.000000
1.053992 1.059886 1661.000000
1.059886 1.065781 1007.000000
1.065781 1.071675 571.000000
1.071675 1.077570 338.000000
1.077570 1.083464 182.000000
1.083464 1.089359 99.000000
1.089359 1.095253 46.000000
1.095253 1.101148 25.000000
1.101148 1.107042 11.000000
1.107042 1.112937 15.000000
1.112937 1.118831 7.000000
1.118831 1.124726 1.000000
1.124726 1.130620 1.000000
1.130620 1.136514 0.000000
1.136514 1.142409 2.000000
1.142409 1.148303 1.000000
